あい	阿井,愛,曾,相,藍,會
あませ	阿万瀬,阿萬瀬,雨瀬,天瀨,天瀬,天懶
あませがわ	天瀬川
あませた	天瀬田
あまた	阿万田,阿萬田,天田,尼田
あまたけ	甘竹,天竹
あまたつ	天達,天辰
あまたに	雨谷,天谷,尼谷
あまだ	阿萬田,雨田,甘田,天田,尼田,聒田
あまだつ	天達
あまち	雨知,雨地,天知,天地
あまちょう	尼丁
あまつ	阿松,天津,天都
あまつかわ	天津川
あまつじ	天辻
あまつち	天土
あまつつ	天筒
あまつつみ	天堤
あまつづみ	雨堤
あまづつみ	雨堤
あまとみ	天富,天冨
あまどめ	尼留
あまない	天内
あまなか	甘中
あまぬま	雨沼,天沼
あまね	天根
あまの	阿万野,阿萬野,雨野,海士野,海部野,甘濃,甘野,天之,天埜,天野,尼野
あまのめ	天生目
あまのや	天宅
あまは	天羽
あまはた	天畠
あまはや	天早
あまひろ	天弘
あまふじ	天藤
あまべ	雨辺,雨邉,海士部,天部,天辺,余部
あまほり	天堀
あまみ	天見
あまみず	雨水,甘水,天水
あまみつ	天光,天満
あまみや	雨宮,海人宮,天宮,天都,尼宮
あまむら	天村
あまめいし	天目石
あまもと	天本
あまもり	雨森
あまや	雨谷,雨夜,雨矢,甘谷,天家,天宅,天谷,天矢,尼谷
あまやす	天保
あまり	甘利,天利,余,余利,余理,余里
あまわし	天鷲
あまん	阿万,阿満,阿萬
あみ	阿見,阿美,阿弥,阿彌,安見,網
あみい	網井
あみいえ	網家
あみえ	網江
あみおか	網岡
あみかわ	網川
あみき	網木
あみくら	網倉,網蔵,網藏
あみさき	網﨑,網崎,網嵜
あみざき	網﨑,網崎
あみしま	綱島,網島,網嶋
あみしろ	網城,網代
あみじ	網治
あみじま	網島
あみた	網田
あみたに	阿美谷,真鍋,網谷
あみだ	編田
あみつか	網塚
あみづか	網塚
あみと	網戸
あみなか	網中,網仲
あみなが	網永
あみの	阿比野,綱野,網埜,網野
あみはま	網浜
あみふじ	網藤
あみほし	網干
あみむら	網村
あみもと	網元,網本
あみもり	網守
あみや	阿宮,阿見弥,阿見彌,阿美谷,網屋,網家,網谷,網矢,罟谷
あめ	（餉の向が台）,飴
あめい	飴井
あめかわ	飴川,雨河,雨川
あめく	天久
あめくら	雨倉
あめさか	雨坂
あめざわ	雨沢,雨澤
あめしま	飴島,飴嶋,雨島
あめじま	雨島,雨嶋
あめた	雨田
あめたに	阿免谷,飴谷,雨谷
あめだ	雨田
あめつじ	雨辻
あめつつみ	雨堤
あめづつみ	雨堤
あめの	飴野
あめのみや	雨之宮
あめのもり	雨森
あめま	雨間
あめまつ	雨松
あめみや	雨宮
あめむら	飴村
あめもり	雨森
あめや	飴屋,飴家,飴谷,飴矢,雨谷
あめやま	飴山,雨山
あもう	天羽
あもせ	阿茂瀬
あもり	阿守
あや	阿野,綾,漢,彩,斐,文
あやい	綾井
あやおり	綾織
あやき	綾城,綾木,漢城,文樹
あやこうじ	綾小路
あやさか	綾坂
あやしろ	綾城
あやじき	安屋敷
あやせ	綾瀬
あやた	綾田
あやだ	綾田
あやと	綾戸
あやとう	綾塔
あやど	綾戸
あやに	綾仁
あやの	綾野
あやべ	綾部
あやま	阿山
あやむら	綾村
あやめ	綾女,綾目,菖蒲,纐纈
あやもと	綾本
あやもり	綾森
あゆかい	鮎貝
あゆかわ	鮎川,行川,鮏川
あゆがい	鮎貝
あゆがせ	鮎ヶ瀬
あゆさわ	鮎沢,鮎澤
あゆざわ	鮎沢,鮎澤
あゆせ	鮎瀬
あゆた	鮎田
あゆは	阿由葉
あゆば	阿由葉
あら	阿羅,阿良,荒,新,新良
あらあけ	荒明
あらい	あら井,アライ,阿良井,荒維,荒井,荒居,荒崇,新井,新居,新羅,洗,洗井,流井
あらいえ	荒家,新家
あらいかわ	洗川
あらいけ	荒池
あらいし	荒石
あらいずみ	荒泉
あらいだ	新井田
あらいだい	洗平
あらいば	新井場
あらいや	新井谷
あらうち	荒内
あらうみ	荒海
あらえ	荒栄,荒衛,荒江,荒柄,新江,新榮
あらえだ	荒枝
あらお	荒生,荒尾
あらおか	安良岡,荒,荒岡,新岡
あらかき	新垣
あらかど	荒角,新門
あらかね	荒金
あらかわ	荒河,荒川,新河,新川,洗川
あらが	荒賀
あらがい	荒貝
あらがき	新垣
あらがね	荒金,荒銀,荒兼,鉱,鑛
あらがみ	荒神
あらき	阿良木,安楽城,安良城,顕木,荒喜,荒紀,荒記,荒貴,荒起,荒鬼,荒城,荒木,荒良木,墾,新樹,新城,新木,有木,嵐城,蘭
あらきだ	荒木田
あらぎ	蘭
あらぎし	荒岸
あらくだ	荒久田
あらくま	荒熊
あらくら	荒倉,新鞍,新倉,新蔵,新藏,嵐倉
あらぐち	荒口
あらけ	荒毛
あらこ	荒古,荒子,荒砥
あらこま	荒駒
あらこも	荒薦
あらさき	荒﨑,荒崎,新﨑,新崎
あらさわ	荒沢,荒澤,新沢,新澤
あらし	嵐
あらしか	荒鹿
あらしかわ	嵐川
あらしき	新鋪
あらした	新下
あらしだ	嵐田
あらしだに	嵐谷
あらしま	荒島
あらしやま	嵐山
あらしろ	安良城,荒城,新城,新白
あらすな	荒砂
あらせ	荒瀨,荒瀬,荒勢
あらせき	荒関
あらぜき	荒関
あらぜに	荒銭
あらた	阿羅田,阿良田,安良田,荒田,新,新タ,新多,新田
あらたがわ	荒田川
あらたき	荒瀧
あらたけ	荒岳,荒竹,荒武,荒嶽,新嵩,新竹,新武
あらたし	新
あらたて	荒舘
あらたに	顕谷,荒谷,新谷
あらたの	畬野
あらたま	新玉
あらため	新為,新田目,新目
あらだち	荒舘
あらち	荒地
あらつ	荒津
あらと	荒戸,荒砥,新留
あらとう	荒当
あらとの	荒殿
あらどの	荒殿
あらない	荒内
あらなが	荒永
あらなみ	荒波,荒浪,荒濤
あらにし	荒西
あらの	荒埜,荒納,荒能,荒野,新埜,新納,新野,昿野
あらのう	荒能
あらはし	荒橋
あらはた	荒幡,荒畑,荒畠,新幡,新畑,新畠
あらはま	荒浜
あらはら	荒原
あらはり	荒張
あらはる	新治
あらはん	荒幡
あらば	荒場
あらひ	荒樋
あらひら	荒平
あらびき	荒引
あらふか	荒深
あらふね	荒舟,荒船,荒舩,新舟,新船,新舩
あらほり	荒堀
あらぼり	荒堀
あらま	荒間
あらまき	荒巻,荒蒔,荒牧,荒槙,荒卷,荒槇,新巻,新牧,新槙,新槇
あらまさ	新正
あらます	荒益
あらまた	荒俣,荒又
あらまち	荒町
あらまつ	荒松
あらみ	荒見,荒美,新見
あらみず	荒水
あらみや	新宮
あらめ	荒目,新目
あらもと	荒元,荒本,新元,新本
あらもみ	荒籾,新籾
あらもり	荒森
あらや	阿頼耶,顕谷,荒屋,荒谷,荒矢,新屋,新家,新箭,新谷,顯谷
あらやしき	荒屋敷,新屋敷
あらやち	荒谷地
あらやま	阿良山,荒山,新山
あらゆう	新夕
あららぎ	阿良々木,蘭,櫟,檪
あらわか	荒若
あり	有
ありあけ	有明
ありい	蟻井,有井,有居
ありいえ	有家
ありいずみ	有泉
ありいそ	有磯
ありうえ	有上
ありうし	有牛
ありうち	有内
ありうね	有采
ありうみ	有海
ありうら	有浦
ありえ	在江,有栄,有衛,有恵,有江,有得
ありお	有尾
ありおか	有岡
ありか	有加,有可,有家
ありかい	有海
ありかた	有方
ありかど	有門
ありかべ	有壁
ありかわ	蟻川,在川,有川,有側
ありが	在賀,有我,有賀
ありがい	有貝
ありがね	有金
ありがみ	有上
ありがや	有ヶ谷
ありき	在木,有木
ありきよ	有清
ありくに	有国,有國
ありくら	有倉
ありけ	有家
ありこう	有光
ありさ	有佐
ありさか	蟻坂,有坂,有阪
ありさきはら	東崎原
ありさこ	有迫
ありさだ	有定
ありさと	在郷,在里,有里
ありさわ	蟻沢,在澤,有沢,有澤
ありざ	有座
ありしげ	有重
ありしば	蟻芝
ありしま	有島,有嶋
ありしろ	有城
ありじ	有路
ありす	有栖
ありすえ	蟻末,在末,有寿夷,有末
ありすが	有菅
ありすみ	有角,有隅,有住,有澄,有墨
ありずみ	有隅,有住,有澄,有墨
ありせ	有瀨,有瀬,有生
ありそ	有生
ありぞの	有園,有薗
ありた	蟻田,在田,有田
ありたか	有髙,有高
ありたき	有滝,有瀧
ありたけ	有竹
ありたに	有谷
ありち	有地
ありちか	有近
ありぢ	有地
ありつ	有津
ありつか	在塚
ありつぎ	有次
ありつけ	有附
ありつぼ	有坪
ありづか	蟻塚,蟻塚,在塚,有塚,垤
ありとう	有藤
ありとき	有時
ありとく	有得
ありとし	蟻通,有年,有利
ありとみ	有富,有冨
ありとめ	有留
ありとも	有友
ありどみ	有富,有冨
ありどめ	有留
ありなか	有中
ありなが	在永,在長,有永,有長
ありなみ	蟻波,蟻浪,有南,有波,有浪
ありにし	有西
ありの	蟻乃,在野,有埜,有野
ありのき	有ノ木
ありのぶ	有延,有信
ありはま	東浜
ありはら	在原,有原
ありば	有場
ありひら	有平
ありひろ	有広,有弘,有廣
ありふく	有福
ありふじ	在藤,有藤
ありべ	有部,有辺,有邊
ありほり	有堀
ありま	蟻馬,有間,有馬,有麻
ありまさ	有政
ありまつ	有松
ありみ	有海
ありみず	有水
ありみち	有道
ありみつ	有光,有満,有滿
ありむね	有宗
ありむら	有村
ありめ	有銘
ありもち	有持
ありもと	蟻本,在本,有元,有本
ありもり	有森,有盛
ありや	有屋,有家,有谷,有矢
ありやす	有安
ありやた	有屋田
ありやだ	有屋田
ありやま	有山
ありよし	蟻義,有𠮷,有吉,有好,有芳,有由
ありわ	有輪
ありわか	有若
あるか	有賀
あるが	有賀
あるじ	有路
あろう	阿良,荒生
あわ	阿波,粟,安発,安房,安和,淡,泡
あわい	粟井,淡井,淡居
あわいはら	粟飯原
あわいばら	粟飯原
あわお	粟生
あわか	阿波加
あわかく	阿波角
あわかわ	淡川
あわが	阿波賀,粟賀
あわき	粟木
あわくに	粟国
あわくら	粟倉,粟蔵,粟藏
あわぐち	淡口
あわごん	阿波根
あわさ	淡佐
あわさき	粟崎
あわさわ	粟沢
あわざわ	粟澤
あわしま	阿波島,阿波嶋,粟島,粟嶋,粟嶌,淡島,淡嶋
あわじ	阿波治,粟次,粟路,淡地,淡路
あわじや	淡路屋
あわず	粟津
あわた	阿波田,粟田,安房田,淡田,泡田
あわたぐち	粟田口
あわたけ	粟竹
あわたに	阿波谷,粟谷,淡谷,鮑谷
あわち	粟地,淡地
あわつ	粟津
あわつじ	粟辻
あわつはら	粟津原
あわづ	粟津
あわづはら	粟津原
あわと	粟戸
あわね	粟根,粱根
あわの	阿波野,粟埜,粟納,粟野,淡野
あわのはら	粟野原
あわはら	粟原
あわぶち	泡渕
あわむら	阿波村,粟村
あわもと	粟本
あわもり	粟森
あわや	阿波屋,阿波谷,粟屋,粟家,粟谷,粟野,淡谷
あわやま	粟山
あわら	阿原,湶
あん	安
あんえい	安栄
あんかい	安海
あんきゅう	安久
あんきょ	安居
あんけい	安慶,安渓,安溪
あんさい	安細,安斉
あんざい	安済,安斎,安細,安在,安西,安斉,安濟,安齋,安齊,案西
あんざき	安﨑,安崎,安嵜,庵﨑,庵崎
あんざこ	庵逧
あんざわ	安沢,安澤
あんした	庵下
あんじき	安喰,安食
あんじゅう	安重
あんじょう	安生
あんぜい	安西
あんそ	安曽
あんそう	安荘
あんぞう	安蔵,安藏
あんだ	庵田,按田,案田,菴田
あんだい	安代
あんだち	安達,安立
あんち	安地,庵地,案地
あんづえ	安杖
あんづち	安土
あんとく	安德,安徳
あんとこ	庵床
あんど	安堵,安渡,安土,庵戸
あんどう	安東,安藤,安堂,安道,安籐,庵藤,案藤
あんどしろ	安堵城
あんなか	安中,安仲,杏中
あんねん	安念
あんの	阿武,安濃,安野,庵ノ,案野
あんのう	安濃,安納,案納
あんのうら	案浦
あんのき	菴木
あんばい	安倍,塩梅
あんばし	安橋
あんびる	安昼,安蒜,安晝
あんぶつ	安佛
あんぷく	安福
あんべ	安倍,安部,案部
あんぺいじ	安平次
あんぼ	安保
あんぽ	安保
あんま	安間
あんまえ	庵前
あんみ	安味
あんめ	安梅
あんも	安茂
あんよう	安養
あんようじ	安用寺,安養子,安養寺
あんらく	安楽,安護,安樂
あんりゅう	安立,安竜,安龍
あんりょう	安陵
あんるい	安類
い	井,李
いあい	井合,居合,居相
いい	伊井,井,井伊,猪井,飯,飯井
いいいずみ	飯泉
いいお	飯尾
いいおか	飯岡
いいかい	飯貝
いいかわ	飯河,飯川
いいがい	飯貝
いいがき	飯垣
いいがはま	飯ヶ浜
いいがみ	飯上
いいがや	飯ヶ谷
いいき	井城
いいくに	飯国,飯國
いいくぼ	飯久保,飯窪
いいくま	飯隈
いいくら	飯倉
いいぐさ	飯草
いいぐち	飯口
いいぐに	飯国,飯國
いいごう	飯郷
いいさか	飯坂,飯阪
いいさく	飯作
いいさこ	飯迫
いいざか	飯坂
いいざこ	飯迫
いいざさ	笹,飯笹
いいざと	飯里
いいざわ	伊井澤,飯沢,飯澤
いいし	井石,居石,飯石
いいしば	飯柴
いいしま	伊井島
いいじ	飯地
いいじま	飯島,飯嶋,飯嶌
いいずか	井伊塚,飯塚,飯束,飯塚
いいずみ	飯住,飯泉
いいた	井板,飯田
いいたか	飯高
いいたけ	飯竹
いいたに	飯谷
いいだ	伊井田,飯田,良田
いいだか	飯高
いいつか	飯塚
いいづか	飯塚
いいで	飯出
いいとう	飯藤
いいとみ	飯富,飯冨
いいとよ	飯豊
いいどみ	飯冨
いいな	飯名
いいなが	飯永
いいにし	飯西
いいぬま	飯沼
いいの	伊井野,飯野
いいのう	飯生
いいはた	飯畑
いいはま	飯浜,飯濱
いいはら	飯原
いいば	飯場
いいぶち	飯渕
いいべ	飯部
いいほし	飯干,飯星
いいぼし	飯干,飯星
いいま	飯間
いいみ	飯海,飯味
いいむら	飯村
いいむれ	飯牟礼,飯牟禮
いいむろ	飯室
いいめん	飯面
いいもと	飯本
いいもり	飯守,飯森,飯盛
いいや	井伊谷
いいやま	飯山
いいよし	飯𠮷,飯吉
いいり	井入,飯利
いうえ	井植
いうち	伊内,井内,居内
いうめ	井梅
いうら	井浦
いえ	伊江,伊得,井江,家
いえい	家井
いえいり	家入
いえうじ	家宇治,家氏
いえかめ	家亀
いえがき	家垣
いえき	家喜,家城,家木
いえくし	家串
いえくも	家雲
いえくら	家倉
いえぐち	家口
いえぐま	家熊
いえこ	家子
いえごう	家郷
いえさか	家坂
いえさき	家崎
いえさこ	家迫
いえさと	家郷,家里
いえざき	家崎
いえしげ	家重
いえした	家下
いえしま	家島,家嶋
いえじ	家治
いえじま	家島
いえたか	家高
いえたに	家谷
いえだ	家田
いえちか	家近
いえつか	家塚
いえつぐ	家次,家接
いえつね	家常
いえづか	家塚,家塚
いえとみ	家富
いえどころ	家所
いえなか	家中
いえなが	家永,家長
いえにし	家西
いえの	家野
いえはら	家原
いえひさ	家久
いえひら	家平
いえふじ	家藤
いえまさ	家政
いえまた	家亦
いえみつ	家光
いえみや	家宮
いえむら	家村
いえもと	家元,家本
いえもり	家森
いえやま	家山
いえよし	家吉
いえわき	家脇
いお	伊尾,井生,井尾,猪尾
いおい	井生,五十井,五百井,藺生
いおう	井生
いおお	五百尾
いおおち	伊大知
いおか	井岡,猪岡
いおかわ	五百川
いおがわ	五百川
いおき	井沖,井置,五百城,五百木
いおきと	五百旗頭
いおきべ	五十旗頭,五百旗頭,五百籏頭
いおぎ	五百扇
いおく	井奥,猪奥
いおくら	五百蔵
いおさき	庵崎
いおざき	五百崎
いおざわ	五百沢,五百澤
いおじ	五百路
いおずみ	五十棲,五百住
いおた	五百田
いおたけ	五百竹
いおたに	庵谷
いおち	伊大知,射落
いおはら	庵原,菴原
いおもり	五百森
いおや	菴谷
いおり	庵,伊織,伊折,井折
いおりざき	庵崎
いおりすぎ	庵杉
いおりだに	庵谷
いおりや	庵谷
いおろい	五百蔵,五百藏
いか	伊加,伊香,烏賊
いかい	伊加井,伊介,伊海,伊飼,井海,井開,井階,井貝,五十井,猪飼
いかが	伊香賀
いかがわ	五十川
いかくら	猪鹿倉
いかけ	伊掛
いかけやま	鋳山
いかご	五十子
いかさき	伊ヶ崎
いかざき	伊ヶ崎,伊賀崎,五十崎
いかしま	五十嶋
いかずち	雷
いかだ	伊加田,井加田,五十田,筏
いかだい	筏井
いかだつ	筏津
いかつ	井勝
いかど	井門
いかの	居家野
いかはた	五十畑
いかみ	伊神,井上,井神,居上,居神
いかめ	井亀
いからし	五十嵐
いかり	伊狩,井狩,五十里,錠,猪刈,猪狩,碇
いかりいし	碇石
いかりがわ	碇川
いかりたけ	碇武
いかりの	碇野
いかりもと	碇元,碇本
いかりや	碇屋,碇谷
いかりやま	碇山
いかるが	鵤
いかるぎ	鵤木
いかわ	伊香輪,伊川,井河,井川,亥川,猪川
いが	伊加,伊賀
いがい	伊賀井,井貝,井街,亥飼
いがうえ	伊賀上
いがき	伊垣,井垣,居垣
いがくら	伊鹿倉,猪鹿倉
いがさき	伊ケ崎,伊ヶ崎,伊賀崎
いがしき	伊賀敷
いがしま	五十島
いがしら	井頭
いがせ	伊賀瀬
いがた	伊形,井潟,井形,井方
いがたに	飯ヶ谷
いがっこ	五十子
いがなみ	伊賀並
いがの	伊賀野
いがま	井釜
いがみ	伊賀美,伊神,位上,井神,居神,猪上
いがや	猪谷
いがらし	五十嵐
いがり	猪狩
いがわ	伊川,井川,居川
いがわはら	井川原
いき	伊木,位寄,井城,壱岐,居木,生亀,息,壹岐
いきお	壹岐尾
いきがい	生貝
いきがみ	生神
いきがめ	生亀
いきこし	生越
いきごし	生越
いきしま	生島,生嶋
いきす	伊規須,息栖
いきた	生田
いきたに	生谷
いきち	生地
いきつ	生津
いきつき	生月
いきなか	生中
いきなが	生永,生長
いきぬき	生抜
いきはら	生原
いきみ	伊喜見
いきみず	生水
いきむね	生宗
いきむら	生村
いきもり	生森
いきやま	生山
いきゅう	為久
いぎ	伊木,井木,猪木
